,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
42,19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT  LANDING LIGHT WAS INOPERATIVE ",AU,V,33,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,"Ground Taxi, Other A",                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT  LANDING LIGHT WAS INOPERATIVE "
43,19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT ",II,F,PB,Inadequate Insp Of A,Fire After Crash    ,Pilot-In-Command    ,Poor Preflight Plan/,Fire After Crash    ,Pilot-In-Command    ,                    ,Uncontroll Coll With,Forced/Precautionary,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,IFR                 ,Low Ceiling         ,Night               ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"RUDDER,R AIL CTL LOCKS INSTALLED REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT "
44,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK ",AU,V,32,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Business            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK "
45,19770927027719A,WATER IN REAR COMPTMT FLOATS EXCEEDED AFT CG LMT THROTTLE FRICTION LOOSE ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Stall               ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,WATER IN REAR COMPTMT FLOATS EXCEEDED AFT CG LMT THROTTLE FRICTION LOOSE 
46,19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN  PARTIALLY OPENED ON PREFLIGHT ,II,E,II,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Inadequate Insp Of A,Emergency Landing   ,Other/Pass/Cabin Cre,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Instruction         ,Training            ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,Flight Instructor   ,Discussion          ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Unscheduled Landing ,                    ,                    ,                    ,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN  PARTIALLY OPENED ON PREFLIGHT 
47,19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF  STRANGE NOISE DURING RETRACTION  GEAR EXTENDED OK, LANDED OK ",II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Level Off Touchdown,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Declared Emergency  ,                    ,                    ,                    ,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF  STRANGE NOISE DURING RETRACTION  GEAR EXTENDED OK, LANDED OK "
48,19771016042599A,WIND GUSTING TO 25 ,AU,V,32,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Dusk                ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,WIND GUSTING TO 25 
49,19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT  IT HAD NOT BEEN LATCHED PROPERLY ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Airframe Failure-In ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Air Taxi (Sched-Not ,Air Mail            ,Unknown             ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Declared Emergency  ,                    ,                    ,                    ,ENGINE COWLING CAME LOOSE IN FLIGHT  IT HAD NOT BEEN LATCHED PROPERLY 
50,19780111000459A,aircraft DISPATCHER HARRASSMENT OF PILOT  PILOT FORGOT TO REMOVE TIEDROPE ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,To Vertical (Helicop,                    ,Pilot Induced       ,Other               ,Ferry               ,VFR                 ,Frontal Activity    ,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,aircraft DISPATCHER HARRASSMENT OF PILOT  PILOT FORGOT TO REMOVE TIEDROPE 
51,19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING  HYDRAULIC RESERVOIR OUT OF FLUID ,II,V,32,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Gear Collapse       ,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Other               ,Test Flight         ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Unable/Unsafe To Tax,                    ,                    ,                    ,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING  HYDRAULIC RESERVOIR OUT OF FLUID 
52,19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL  NO PILOT CERTIFICATE, NO ANNUAL ",II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,                    ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,Unscheduled Landing ,Off Side Of Runway  ,                    ,                    ,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL  NO PILOT CERTIFICATE, NO ANNUAL "
53,19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF  WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED ",II,V,UO,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Unsafe Acts By Third,Other/Miscellaneous ,Maintenance And/Or G,                    ,Gear Retr During Grd,Other Ground Ops,                    ,Pilot And Maintenanc,Business            ,Ferry               ,Unknown             ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF  WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED "
54,19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM ,II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM 
55,19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER ,II,V,UN,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Misc/Pilot Unsafe Ac,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Other-Miscellaneous ,Takeoff Ground Roll,                    ,Pilot Induced       ,Aerial Applicator   ,Agriculture         ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Rejected Takeoff    ,                    ,                    ,                    ,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER 
56,19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE  DIP STICK FOUND TO BE MISSING ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Initial Approach-IFR,                    ,Pilot Induced       ,Scheduled Air Carrie,Passengers          ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,                              ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE  DIP STICK FOUND TO BE MISSING 
